	Door1	Door2	FaucetHandle1	FaucetHandle2	SinkFloor1	SinkFloor2	Soap Dispenser	Stall	ToiletFloor1	ToiletFloor2	ToiletFlushHandle1	ToiletFlushHandle2	ToiletSeat1	ToiletSeat2	Domaine	Embranchement	Classe	Ordre	Famille	Genre	OTU
40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	unclassified	unclassified	02427
41	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	unclassified	unclassified	02034
42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	unclassified	unclassified	02452
43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	unclassified	unclassified	03694
44	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	unclassified	unclassified	03262
45	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	unclassified	unclassified	03837
46	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	unclassified	unclassified	unclassified	01505
47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	02281
48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01905
49	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01889
50	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01452
51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	02804
52	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03983
53	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01064
54	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	02681
55	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01372
56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	02657
57	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03531
58	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01974
